Award_ID,Award_Name,Subfield,Title,Author_1,Author_1_Gender,Author_2,Author_2_Gender,Author_3,Author_3_Gender,Author_4,Author_4_Gender,Author_5,Author_5_Gender,Author_6,Author_6_Gender,Author_7,Author_7_Gender,Author_8,Author_8_Gender,Author_9,Author_9_Gender,Year_Won,Year_Published,Journal,DOI,Prize_Type,Prize_Rank,Author_Count,Primary_Method,Source_Award_Page,Notes,ASA
labor_distinguished,Distinguished Scholarly Article Award,Labor and Labor Movements,Unclear Signals Uncertain Prospects: The Labor Market Consequences of Freelancing in the New Economy,Quan D. Mai,male,,,,,,,,,,,,,,,,,2022,2021,Social Forces,,Honorable Mention,Honorable Mention,1,,https://www.asanet.org/communities-and-sections/sections/current-sections/labor-and-labor-movements-award-recipient-history/,,1
labor_distinguished,Distinguished Scholarly Article Award,Labor and Labor Movements,How Digitized Strategy Impacts Movement Outcomes: Social Media Mobilizing and Organizing in the 2018 Teachers' Strikes,Eric Blanc,male,,,,,,,,,,,,,,,,,2022,2021,Politics & Society,,Honorable Mention,Honorable Mention,1,,https://www.asanet.org/communities-and-sections/sections/current-sections/labor-and-labor-movements-award-recipient-history/,,1
labor_distinguished,Distinguished Scholarly Article Award,Labor and Labor Movements,The Right to Work Power Resources and Economic Inequality,Tom VanHeuvelen,male,,,,,,,,,,,,,,,,,2021,,American Journal of Sociology,,Winner,Winner,1,,https://www.asanet.org/communities-and-sections/sections/current-sections/labor-and-labor-movements-award-recipient-history/,,1
labor_distinguished,Distinguished Scholarly Article Award,Labor and Labor Movements,Labor-related Civil Society Actors in China: A Gramscian Analysis,Elaine Sio-ieng Hui,female,,,,,,,,,,,,,,,,,2021,,Theory and Society,,Honorable Mention,Honorable Mention,1,,https://www.asanet.org/communities-and-sections/sections/current-sections/labor-and-labor-movements-award-recipient-history/,,1
labor_distinguished,Distinguished Scholarly Article Award,Labor and Labor Movements,Day Labor Agencies Backdoor Hires and the Spread of Unfree Labor,Gretchen Purser,female,,,,,,,,,,,,,,,,,2020,,Anthropology of Work Review,,Winner,Winner,1,,https://www.asanet.org/communities-and-sections/sections/current-sections/labor-and-labor-movements-award-recipient-history/,,1
labor_distinguished,Distinguished Scholarly Article Award,Labor and Labor Movements,The Antinomies of Successful Mobilization: Colombian Recyclers Manoeuvre between Dispossession and Exploitation,Manuel Rosaldo,male,,,,,,,,,,,,,,,,,2020,,Development and Change,,Honorable Mention,Honorable Mention,1,,https://www.asanet.org/communities-and-sections/sections/current-sections/labor-and-labor-movements-award-recipient-history/,,1
labor_distinguished,Distinguished Scholarly Article Award,Labor and Labor Movements,Fragmented Control: Governing Contentious Labor Organizations in China,Diana Fu,female,,,,,,,,,,,,,,,,,2019,2018,Governance,,Winner,Winner,1,,https://www.asanet.org/communities-and-sections/sections/current-sections/labor-and-labor-movements-award-recipient-history/,,1
labor_distinguished,Distinguished Scholarly Article Award,Labor and Labor Movements,(Re-)Locating the Local and National in the Global: Multi-Scalar Political Alignment in Transnational European Dockworker Union Campaigns,Katy Fox-Hodess,female,,,,,,,,,,,,,,,,,2018,2017,British Journal of Industrial Relations,,Winner,Winner,1,,https://www.asanet.org/communities-and-sections/sections/current-sections/labor-and-labor-movements-award-recipient-history/,,1
labor_distinguished,Distinguished Scholarly Article Award,Labor and Labor Movements,In the Shadow of Working Men: Gendered Labor and Migrant Rights in South Korea,Hae Yeon Choo,female,,,,,,,,,,,,,,,,,2018,2016,Qualitative Sociology,,Honorable Mention,Honorable Mention,1,,https://www.asanet.org/communities-and-sections/sections/current-sections/labor-and-labor-movements-award-recipient-history/,,1
labor_distinguished,Distinguished Scholarly Article Award,Labor and Labor Movements,Why Is There No Labor Party in the United States? Political Articulation and the Canadian Comparison 1932 to 1948,Barry Eidlin,male,,,,,,,,,,,,,,,,,2017,2016,American Sociological Review,,Winner,Winner,1,,https://www.asanet.org/communities-and-sections/sections/current-sections/labor-and-labor-movements-award-recipient-history/,,1
